epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9068,1.89354,3.35644,1.53181,0.28071,0.28268,0.21545,0.11584,1.66574,2.68372,1.34238,3.334e-05,3.334e-05,3.334e-05
2,64.2944,1.57075,2.51145,1.37258,0.45671,0.72712,0.57285,0.35549,1.32466,2.55622,1.15408,8.16997e-05,8.16997e-05,8.16997e-05
3,102.092,1.46195,1.97606,1.34326,0.70226,0.52124,0.6422,0.39895,1.20535,2.79066,1.03133,0.000128079,0.000128079,0.000128079
4,139.579,1.42692,1.79445,1.27836,0.51414,0.68137,0.69057,0.52136,0.96827,2.37745,1.01609,0.000172478,0.000172478,0.000172478
5,178.02,1.3424,1.69398,1.24137,0.61034,0.7872,0.78888,0.553,1.0259,2.43932,1.0351,0.000214896,0.000214896,0.000214896
6,225.531,1.3794,1.42326,1.24115,0.75383,0.73411,0.78034,0.57153,0.95295,2.39226,0.98514,0.000255334,0.000255334,0.000255334
7,271.823,1.28642,1.31782,1.15659,0.80328,0.88889,0.92224,0.67338,0.96186,1.58342,0.97208,0.000293792,0.000293792,0.000293792
8,313.407,1.23885,1.18467,1.11117,0.91018,0.8415,0.9679,0.70247,0.97884,1.30974,0.9748,0.000330269,0.000330269,0.000330269
9,357.841,1.21652,1.1986,1.11766,0.81991,0.89395,0.92195,0.65109,1.04883,1.09462,1.02086,0.000364766,0.000364766,0.000364766
10,403.155,1.18117,1.25099,1.13554,0.8022,0.90033,0.91998,0.65081,1.10049,1.13727,1.05517,0.000397283,0.000397283,0.000397283
11,446.414,1.12804,1.08024,1.09196,0.76961,0.8317,0.89576,0.63088,1.07953,1.22194,1.06971,0.000427819,0.000427819,0.000427819
12,485.869,1.21275,1.17578,1.1789,0.81012,0.88878,0.9226,0.65898,1.03037,1.12918,1.0931,0.000456375,0.000456375,0.000456375
13,521.869,1.25448,1.09231,1.1534,0.71777,0.9675,0.91538,0.63991,1.08535,1.292,1.11849,0.00048295,0.00048295,0.00048295
14,559.659,1.22913,1.09992,1.16289,0.76524,0.88399,0.89735,0.62736,1.04485,1.30762,1.08538,0.000507545,0.000507545,0.000507545
15,595.556,1.13073,1.05394,1.1474,0.57807,0.88657,0.78389,0.55922,1.01132,1.5129,1.05848,0.000530159,0.000530159,0.000530159
16,631.468,1.20311,1.02669,1.17566,0.67747,0.83007,0.86116,0.62472,1.03486,1.41019,1.09015,0.000550793,0.000550793,0.000550793
17,673.534,1.15673,0.92948,1.1426,0.72359,0.82036,0.82723,0.57528,1.13718,1.36538,1.16147,0.000569447,0.000569447,0.000569447
18,713.278,1.21688,1.0247,1.16987,0.65945,0.82951,0.80765,0.55029,1.12385,1.33832,1.15936,0.000586121,0.000586121,0.000586121
19,757.221,1.15166,1.07412,1.19735,0.55138,0.89586,0.76074,0.55836,1.04896,1.37847,1.11385,0.000600813,0.000600813,0.000600813
20,800.623,1.18512,1.02427,1.14461,0.67885,0.77124,0.74261,0.54727,1.02568,1.96968,1.095,0.000613526,0.000613526,0.000613526
21,845.461,1.18494,0.95896,1.11965,0.6897,0.74346,0.76313,0.55512,1.05669,1.84711,1.11441,0.000624258,0.000624258,0.000624258
22,889.055,1.17276,1.03636,1.21995,0.65789,0.70729,0.76471,0.57035,1.06463,1.61666,1.12046,0.00063301,0.00063301,0.00063301
23,929.497,1.20399,0.97181,1.19495,0.75179,0.78883,0.84939,0.5868,1.06959,1.42589,1.11258,0.000639781,0.000639781,0.000639781
24,970.602,1.11749,0.93782,1.08255,0.82039,0.8339,0.9162,0.64679,1.05894,1.47256,1.1162,0.000644572,0.000644572,0.000644572
25,1014.78,1.21621,1.06251,1.19687,0.91662,0.84314,0.92684,0.65151,1.03753,1.36978,1.10312,0.000647383,0.000647383,0.000647383
